bookID,title,authors,average_rating,language_code,num_pages,text_reviews_count
198,The Music of Chance,Paul Auster,3.9,en-US,217,36
199,Travels in the Scriptorium,Paul Auster,3.23,eng,145,562
200,Leviathan,Paul Auster,3.96,eng,275,443
201,The Red Notebook: True Stories,Paul Auster,3.77,eng,104,120
202,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,fre,1075,1
203,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,eng,608,2780
204,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,en-US,211,26
205,Collapse of Complex Societies,Joseph A. Tainter,4.15,eng,262,86
206,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,eng,544,512
207,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,eng,272,4
208,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,eng,576,20
209,My Inventions,Nikola Tesla,4.01,eng,88,262
210,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,eng,542,334
211,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,eng,144,5
212,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,eng,100,2
213,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,eng,249,12
214,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,en-US,828,49
215,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,eng,112,8
216,Lord of the Flies,William Golding,3.68,eng,6,96
217,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,eng,397,100
218,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,eng,216,0
219,The Lovely Bones,Alice Sebold,3.81,en-GB,328,966
220,The Lovely Bones,Alice Sebold,3.81,en-US,532,73
